
code	|	name	|	preferred name	|	lineage
1	|	Cucurbitaria	|	 	|	45141 221670 715340 92860 451868 147541 715962 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Melanotaenia	|	 	|	32459 30700 8075 1489913 1489908 1489872 123369 123368 123367 123366 123365 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Phytophthora	|	 	|	4783 4777 4776 4762 33634 2698737 2759 131567 
1	|	Exophiala	|	 	|	5583 43219 34395 451870 147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Eremothecium	|	 	|	33170 4893 4892 4891 147537 716545 4890 451864 4751 33154 2759 131567 
1	|	Peronospora	|	 	|	70742 4777 4776 4762 33634 2698737 2759 131567 
1	|	Orbicella	|	 	|	1920453 46736 123760 6125 6102 6101 6073 6072 33208 33154 2759 131567 
1	|	Oncorhynchus	|	 	|	8016 504568 8015 8006 41705 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Dendronephthya	|	 	|	51109 51108 3028843 6132 6101 6073 6072 33208 33154 2759 131567 
1	|	Rhinichthys	|	 	|	67555 2743731 2743726 30727 7952 186627 186626 32519 186634 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Penaeus	|	 	|	133894 6685 111520 6684 6683 6682 72041 6681 2172821 6657 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Nematostella	|	 	|	45350 45349 6103 6102 6101 6073 6072 33208 33154 2759 131567 
1	|	Chaetoceros	|	 	|	49237 49236 265576 420266 33836 2836 2696291 33634 2698737 2759 131567 
1	|	Aspergillus	|	 	|	5052 1131492 5042 451871 147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Bolivina	|	 	|	46083 46101 212511 29185 29178 2662056 543769 2698737 2759 131567 
1	|	Penicillium	|	 	|	5073 1131492 5042 451871 147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Nonionella	|	 	|	191123 191122 191121 29185 29178 2662056 543769 2698737 2759 131567 
1	|	Globobulimina	|	 	|	212512 212504 212503 29185 29178 2662056 543769 2698737 2759 131567 
1	|	Globobulimina	|	 	|	212512 212504 212503 29185 29178 2662056 543769 2698737 2759 131567 
1	|	Pyricularia	|	 	|	48558 2528436 639021 222544 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Pseudo-nitzschia	|	 	|	41953 33852 33851 33850 33849 2836 2696291 33634 2698737 2759 131567 
1	|	Neolamprologus	|	 	|	32506 319069 318546 319095 8113 1489911 1489910 1489908 1489872 123369 123368 123367 123366 123365 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Exophiala	|	 	|	5583 43219 34395 451870 147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Bolivina	|	 	|	46083 46101 212511 29185 29178 2662056 543769 2698737 2759 131567 
1	|	Plasmopara	|	 	|	4780 4777 4776 4762 33634 2698737 2759 131567 
