5260	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Fungi,subkingdom_Dikarya,phylum_Basidiomycota,subphylum_Pucciniomycotina,class_Pucciniomycetes,order_Pucciniales,family_Melampsoraceae
5296	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Fungi,subkingdom_Dikarya,phylum_Basidiomycota,subphylum_Pucciniomycotina,class_Pucciniomycetes,order_Pucciniales,family_Pucciniaceae
5305	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Fungi,subkingdom_Dikarya,phylum_Basidiomycota,subphylum_Agaricomycotina,class_Agaricomycetes,order_Polyporales,family_Phanerochaetaceae
5352	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Fungi,subkingdom_Dikarya,phylum_Basidiomycota,subphylum_Agaricomycotina,class_Agaricomycetes,subclass_Agaricomycetidae,order_Agaricales,suborder_Marasmiineae,family_Omphalotaceae
5453	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Fungi,subkingdom_Dikarya,phylum_Ascomycota,clade_saccharomyceta,subphylum_Pezizomycotina,clade_leotiomyceta,clade_dothideomyceta,class_Dothideomycetes,subclass_Pleosporomycetidae,order_Pleosporales,suborder_Pleosporineae,family_Didymellaceae
5455	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Fungi,subkingdom_Dikarya,phylum_Ascomycota,clade_saccharomyceta,subphylum_Pezizomycotina,clade_leotiomyceta,clade_sordariomyceta,class_Sordariomycetes,subclass_Hypocreomycetidae,order_Glomerellales,family_Glomerellaceae
5475	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Fungi,subkingdom_Dikarya,phylum_Ascomycota,clade_saccharomyceta,subphylum_Saccharomycotina,class_Saccharomycetes,order_Saccharomycetales,clade_CUG-Ser1 clade,family_Debaryomycetaceae,clade_Candida/Lodderomyces clade
5500	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Fungi,subkingdom_Dikarya,phylum_Ascomycota,clade_saccharomyceta,subphylum_Pezizomycotina,clade_leotiomyceta,class_Eurotiomycetes,subclass_Eurotiomycetidae,order_Onygenales,family_Onygenaceae
5506	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Fungi,subkingdom_Dikarya,phylum_Ascomycota,clade_saccharomyceta,subphylum_Pezizomycotina,clade_leotiomyceta,clade_sordariomyceta,class_Sordariomycetes,subclass_Hypocreomycetidae,order_Hypocreales,family_Nectriaceae
5529	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Fungi,subkingdom_Dikarya,phylum_Ascomycota,clade_saccharomyceta,subphylum_Pezizomycotina,clade_leotiomyceta,clade_sordariomyceta,class_Sordariomycetes,subclass_Hypocreomycetidae,order_Hypocreales,family_Clavicipitaceae
5533	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Fungi,subkingdom_Dikarya,phylum_Basidiomycota,subphylum_Pucciniomycotina,class_Microbotryomycetes,order_Sporidiobolales,family_Sporidiobolaceae
5579	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Fungi,subkingdom_Dikarya,phylum_Ascomycota,clade_saccharomyceta,subphylum_Pezizomycotina,clade_leotiomyceta,clade_dothideomyceta,class_Dothideomycetes,subclass_Dothideomycetidae,order_Dothideales,family_Saccotheciaceae
5581	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Fungi,subkingdom_Dikarya,phylum_Ascomycota,clade_saccharomyceta,subphylum_Pezizomycotina,clade_leotiomyceta,clade_sordariomyceta,class_Sordariomycetes,subclass_Hypocreomycetidae,order_Hypocreales,family_Cordycipitaceae
5583	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Fungi,subkingdom_Dikarya,phylum_Ascomycota,clade_saccharomyceta,subphylum_Pezizomycotina,clade_leotiomyceta,class_Eurotiomycetes,subclass_Chaetothyriomycetidae,order_Chaetothyriales,family_Herpotrichiellaceae
5587	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Fungi,subkingdom_Dikarya,phylum_Ascomycota,clade_saccharomyceta,subphylum_Pezizomycotina,clade_leotiomyceta,class_Eurotiomycetes,subclass_Chaetothyriomycetidae,order_Chaetothyriales,family_Herpotrichiellaceae
5598	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Fungi,subkingdom_Dikarya,phylum_Ascomycota,clade_saccharomyceta,subphylum_Pezizomycotina,clade_leotiomyceta,clade_dothideomyceta,class_Dothideomycetes,subclass_Pleosporomycetidae,order_Pleosporales,suborder_Pleosporineae,family_Pleosporaceae
5600	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Fungi,subkingdom_Dikarya,phylum_Ascomycota,clade_saccharomyceta,subphylum_Pezizomycotina,clade_leotiomyceta,class_Eurotiomycetes,subclass_Chaetothyriomycetidae,order_Chaetothyriales,family_Herpotrichiellaceae
5629	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Fungi,subkingdom_Dikarya,phylum_Basidiomycota,subphylum_Agaricomycotina,class_Agaricomycetes,order_Polyporales,family_Laetiporaceae
5658	superkingdom_Eukaryota,clade_Discoba,phylum_Euglenozoa,class_Kinetoplastea,subclass_Metakinetoplastina,order_Trypanosomatida,family_Trypanosomatidae,subfamily_Leishmaniinae
5683	superkingdom_Eukaryota,clade_Discoba,phylum_Euglenozoa,class_Kinetoplastea,subclass_Metakinetoplastina,order_Trypanosomatida,family_Trypanosomatidae,subfamily_Leishmaniinae
5748	superkingdom_Eukaryota,clade_Sar,clade_Stramenopiles,clade_Ochrophyta,class_Eustigmatophyceae,order_Eustigmatales,family_Monodopsidaceae
5761	superkingdom_Eukaryota,clade_Discoba,phylum_Heterolobosea,clade_Tetramitia,clade_Eutetramitia,family_Vahlkampfiidae
5782	superkingdom_Eukaryota,clade_Amoebozoa,phylum_Evosea,class_Eumycetozoa,clade_Dictyostelia,order_Dictyosteliales,family_Dictyosteliaceae
5800	superkingdom_Eukaryota,clade_Sar,clade_Alveolata,phylum_Apicomplexa,class_Conoidasida,subclass_Coccidia,order_Eucoccidiorida,suborder_Eimeriorina,family_Eimeriidae
5820	superkingdom_Eukaryota,clade_Sar,clade_Alveolata,phylum_Apicomplexa,class_Aconoidasida,order_Haemosporida,family_Plasmodiidae
5864	superkingdom_Eukaryota,clade_Sar,clade_Alveolata,phylum_Apicomplexa,class_Aconoidasida,order_Piroplasmida,family_Babesiidae
5884	superkingdom_Eukaryota,clade_Sar,clade_Alveolata,phylum_Ciliophora,subphylum_Intramacronucleata,class_Oligohymenophorea,order_Peniculida,family_Parameciidae
5959	superkingdom_Eukaryota,clade_Sar,clade_Alveolata,phylum_Ciliophora,subphylum_Postciliodesmatophora,class_Heterotrichea,order_Heterotrichida,family_Blepharismidae
6104	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Metazoa,clade_Eumetazoa,phylum_Cnidaria,class_Anthozoa,subclass_Hexacorallia,order_Actiniaria,family_Actiniidae
6237	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Metazoa,clade_Eumetazoa,clade_Bilateria,clade_Protostomia,clade_Ecdysozoa,phylum_Nematoda,class_Chromadorea,order_Rhabditida,suborder_Rhabditina,infraorder_Rhabditomorpha,superfamily_Rhabditoidea,family_Rhabditidae,subfamily_Peloderinae
6411	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Metazoa,clade_Eumetazoa,clade_Bilateria,clade_Protostomia,clade_Spiralia,clade_Lophotrochozoa,phylum_Annelida,class_Clitellata,subclass_Hirudinea,order_Rhynchobdellida,family_Glossiphoniidae
6452	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Metazoa,clade_Eumetazoa,clade_Bilateria,clade_Protostomia,clade_Spiralia,clade_Lophotrochozoa,phylum_Mollusca,class_Gastropoda,subclass_Vetigastropoda,order_Lepetellida,superfamily_Haliotoidea,family_Haliotidae
6463	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Metazoa,clade_Eumetazoa,clade_Bilateria,clade_Protostomia,clade_Spiralia,clade_Lophotrochozoa,phylum_Mollusca,class_Gastropoda,subclass_Patellogastropoda,superfamily_Patelloidea,family_Patellidae
6525	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Metazoa,clade_Eumetazoa,clade_Bilateria,clade_Protostomia,clade_Spiralia,clade_Lophotrochozoa,phylum_Mollusca,class_Gastropoda,subclass_Heterobranchia,clade_Euthyneura,clade_Panpulmonata,clade_Hygrophila,superfamily_Lymnaeoidea,family_Planorbidae
6548	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Metazoa,clade_Eumetazoa,clade_Bilateria,clade_Protostomia,clade_Spiralia,clade_Lophotrochozoa,phylum_Mollusca,class_Bivalvia,subclass_Autobranchia,clade_Pteriomorphia,order_Mytilida,superfamily_Mytiloidea,family_Mytilidae,subfamily_Mytilinae
6564	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Metazoa,clade_Eumetazoa,clade_Bilateria,clade_Protostomia,clade_Spiralia,clade_Lophotrochozoa,phylum_Mollusca,class_Bivalvia,subclass_Autobranchia,clade_Pteriomorphia,order_Ostreida,superfamily_Ostreoidea,family_Ostreidae
6578	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Metazoa,clade_Eumetazoa,clade_Bilateria,clade_Protostomia,clade_Spiralia,clade_Lophotrochozoa,phylum_Mollusca,class_Bivalvia,subclass_Autobranchia,clade_Pteriomorphia,order_Pectinida,superfamily_Pectinoidea,family_Pectinidae
6595	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Metazoa,clade_Eumetazoa,clade_Bilateria,clade_Protostomia,clade_Spiralia,clade_Lophotrochozoa,phylum_Mollusca,class_Bivalvia,subclass_Autobranchia,clade_Heteroconchia,infraclass_Euheterodonta,superorder_Imparidentia,clade_Neoheterodontei,order_Venerida,superfamily_Veneroidea,family_Veneridae
6668	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Metazoa,clade_Eumetazoa,clade_Bilateria,clade_Protostomia,clade_Ecdysozoa,clade_Panarthropoda,phylum_Arthropoda,clade_Mandibulata,clade_Pancrustacea,subphylum_Crustacea,class_Branchiopoda,subclass_Phyllopoda,order_Diplostraca,suborder_Cladocera,infraorder_Anomopoda,family_Daphniidae
6705	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Metazoa,clade_Eumetazoa,clade_Bilateria,clade_Protostomia,clade_Ecdysozoa,clade_Panarthropoda,phylum_Arthropoda,clade_Mandibulata,clade_Pancrustacea,subphylum_Crustacea,superclass_Multicrustacea,class_Malacostraca,subclass_Eumalacostraca,superorder_Eucarida,order_Decapoda,suborder_Pleocyemata,infraorder_Astacidea,superfamily_Nephropoidea,family_Nephropidae
6722	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Metazoa,clade_Eumetazoa,clade_Bilateria,clade_Protostomia,clade_Ecdysozoa,clade_Panarthropoda,phylum_Arthropoda,clade_Mandibulata,clade_Pancrustacea,subphylum_Crustacea,superclass_Multicrustacea,class_Malacostraca,subclass_Eumalacostraca,superorder_Eucarida,order_Decapoda,suborder_Pleocyemata,infraorder_Astacidea,superfamily_Parastacoidea,family_Parastacidae
6726	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Metazoa,clade_Eumetazoa,clade_Bilateria,clade_Protostomia,clade_Ecdysozoa,clade_Panarthropoda,phylum_Arthropoda,clade_Mandibulata,clade_Pancrustacea,subphylum_Crustacea,superclass_Multicrustacea,class_Malacostraca,subclass_Eumalacostraca,superorder_Eucarida,order_Decapoda,suborder_Pleocyemata,infraorder_Astacidea,superfamily_Astacoidea,family_Cambaridae,subfamily_Cambarinae
6953	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Metazoa,clade_Eumetazoa,clade_Bilateria,clade_Protostomia,clade_Ecdysozoa,clade_Panarthropoda,phylum_Arthropoda,subphylum_Chelicerata,class_Arachnida,subclass_Acari,superorder_Acariformes,order_Sarcoptiformes,suborder_Astigmata,parvorder_Psoroptidia,superfamily_Analgoidea,family_Pyroglyphidae,subfamily_Dermatophagoidinae
7129	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Metazoa,clade_Eumetazoa,clade_Bilateria,clade_Protostomia,clade_Ecdysozoa,clade_Panarthropoda,phylum_Arthropoda,clade_Mandibulata,clade_Pancrustacea,subphylum_Hexapoda,class_Insecta,clade_Dicondylia,subclass_Pterygota,infraclass_Neoptera,cohort_Endopterygota,superorder_Amphiesmenoptera,order_Lepidoptera,suborder_Glossata,infraorder_Neolepidoptera,parvorder_Heteroneura,clade_Ditrysia,clade_Obtectomera,superfamily_Bombycoidea,family_Sphingidae,subfamily_Sphinginae,tribe_Sphingini
7208	superkingdom_Eukaryota,clade_Opisthokonta,kingdom_Metazoa,clade_Eumetazoa,clade_Bilateria,clade_Protostomia,clade_Ecdysozoa,phylum_Nematoda,class_Chromadorea,order_Rhabditida,suborder_Spirurina,infraorder_Spiruromorpha,superfamily_Filarioidea,family_Onchocercidae
